GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT5G38130;4,834325455;-3,205304157;1,170691016;-2,737959132;0,006182176;0,02365006;TRUE;FALSE;TRUE
AT2G34655;13,09199552;-1,734460254;0,633713664;-2,736977838;0,006200647;0,023705558;TRUE;FALSE;TRUE
AT1G30020;5,458904197;-3,39242176;1,239954821;-2,735923682;0,006220545;0,023762641;TRUE;FALSE;TRUE
AT4G21630;5,458904197;-3,39242176;1,239954821;-2,735923682;0,006220545;0,023762641;TRUE;FALSE;TRUE
AT5G43540;11,34684218;1,865937949;0,682114968;2,735518257;0,006228213;0,023788135;TRUE;TRUE;FALSE
AT1G26600;10,619261;-1,984055434;0,726311654;-2,731686077;0,006301115;0,024020552;TRUE;FALSE;TRUE
AT5G57570;14,51010636;-1,573642169;0,576390869;-2,730164988;0,006330264;0,024100945;TRUE;FALSE;TRUE
AT1G23660;5,358608901;-3,359064693;1,230878298;-2,728998228;0,006352705;0,024178687;TRUE;FALSE;TRUE
AT3G57510;6,162007112;-3,116135481;1,144371554;-2,723010258;0,006469005;0,024542156;TRUE;FALSE;TRUE
AT2G28085;7,699572985;-2,334289186;0,858655653;-2,718539356;0,006557085;0,02481051;TRUE;FALSE;TRUE
AT3G60280;8,233969925;2,519434573;0,927110681;2,717512185;0,006577473;0,024875848;TRUE;TRUE;FALSE
AT2G41415;5,774971708;-3,047648719;1,121584532;-2,717270639;0,006582276;0,024882557;TRUE;FALSE;TRUE
AT1G36640;10,19864301;-1,894122503;0,698491192;-2,711734268;0,006693223;0,025211872;TRUE;FALSE;TRUE
AT5G43340;5,113929389;-3,288136582;1,212676531;-2,711470452;0,006698551;0,025218137;TRUE;FALSE;TRUE
AT3G62710;5,309019351;-3,346848042;1,235143471;-2,709683628;0,006734741;0,025338432;TRUE;FALSE;TRUE
AT4G27420;5,309019351;-3,346848042;1,235143471;-2,709683628;0,006734741;0,025338432;TRUE;FALSE;TRUE
AT5G62750;5,068724273;-3,276694125;1,209519443;-2,7090876;0,006746852;0,025377647;TRUE;FALSE;TRUE
AT3G21800;9,772263999;2,021581397;0,746256846;2,708961945;0,006749408;0,025377647;TRUE;TRUE;FALSE
AT5G44540;46,84297884;-3,378208374;1,249561634;-2,703514803;0,006861039;0,025744771;TRUE;FALSE;TRUE
AT1G70220;12,49779108;-1,69948332;0,630323655;-2,696207426;0,007013398;0,026238269;TRUE;FALSE;TRUE
AT3G13840;6,352739969;-2,518340158;0,934376512;-2,695209186;0,007034445;0,026308781;TRUE;FALSE;TRUE
AT3G13437;15,9842797;-1,576358553;0,586289414;-2,688703764;0,007173004;0,026739198;TRUE;FALSE;TRUE
AT1G52855;12,81365636;-1,754602432;0,652674443;-2,688327162;0,0071811;0,026761037;TRUE;FALSE;TRUE
